episode_hash,n_frames,duration_s,nan_left_ee,nan_right_ee,nan_head,nan_left_kp,nan_right_kp,nan_max,frozen_frac_left_ee,frozen_run_left_ee,frozen_frac_right_ee,frozen_run_right_ee,frozen_frac_head,frozen_run_head,frozen_frac_max,frozen_run_max_s,oof_left,oof_right,oof_max,path_len_left,speed_mean_left,net_disp_left,path_len_right,speed_mean_right,net_disp_right,motion_energy,path_len_total,has_annotations,f_duration_s,f_log_duration,f_left_path,f_left_speed_mean,f_left_speed_std,f_left_speed_p90,f_left_acc_std,f_left_ext_x,f_left_ext_y,f_left_ext_z,f_left_bbox_vol,f_left_centroid_x,f_left_centroid_y,f_left_centroid_z,f_left_active_frac,f_right_path,f_right_speed_mean,f_right_speed_std,f_right_speed_p90,f_right_acc_std,f_right_ext_x,f_right_ext_y,f_right_ext_z,f_right_bbox_vol,f_right_centroid_x,f_right_centroid_y,f_right_centroid_z,f_right_active_frac,f_bimanual_speed_corr,f_hand_dist_mean,f_hand_dist_std,f_hand_dist_min,f_left_aperture_mean,f_left_aperture_std,f_left_aperture_range,f_right_aperture_mean,f_right_aperture_std,f_right_aperture_range,f_head_path,f_head_ext,f_head_rot_energy,lab,operator,scene,num_frames,task_description,objects
2025-09-20-17-47-54-000000,2815.0,93.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,43.44196339157892,0.46313393807653436,0.4127702485576877,58.422817972707755,0.6228445412868631,0.444450062724774,0.5429892396816988,101.86478136428667,0.0,93.83333333333333,4.5521209648982754,43.44196339157892,0.46313393807653436,1.0417563724137742,1.0275993831942887,43.500848379094165,0.8675367869436741,0.638343695551157,0.706939522176981,0.39149366168285077,-0.03361070299617033,-0.3301815159830594,-0.6305183734721628,0.964818763326226,58.422817972707755,0.6228445412868631,0.9721849292522383,1.5518374527218863,41.65168246618695,0.5220329519361258,0.6641258597373962,0.7977947406470776,0.27659191273560174,-0.20312920330062534,0.06020197066819406,-0.6331628235252194,0.9694385216773277,0.7745579149612628,0.4494302463921044,0.12481480273960535,0.10962645788870211,0.1031567443996902,0.004789828321389411,0.03061394148447616,0.10085998352577298,0.006634993187316958,0.031155161411556234,10.756382314540256,0.49993680524858286,0.13648252583817086,rl2,ucKevMbqCXuuySSS,1,2815.0,folding clothes,"{""short sleeve shirts"",""long sleeve shirts"",shorts}"
2025-09-20-18-05-52-000000,3383.0,112.76666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,34.563921865867314,0.30659895209225885,0.5915582406215362,63.76614695220476,0.5656370220479428,0.26609466967122547,0.4361179870701008,98.33006881807208,0.0,112.76666666666667,4.734149567244551,34.563921865867314,0.30659895209225885,0.8517016518501878,0.5385246282835504,34.89338146026196,0.5314617082476616,0.37323051621206105,0.7946913065388799,0.15763316180088507,0.012109269288087997,-0.2522250570525739,-0.5988766185026296,0.9858072146658782,63.76614695220476,0.5656370220479428,1.0247603739287365,1.4744590207748642,44.11696748296911,0.5125686638057232,0.41253170371055603,0.6695302780717611,0.1415727290905935,-0.1052743795083105,0.019435867345752696,-0.6357227158497335,0.989946777054997,0.8323542481710906,0.31574960689261977,0.08174449935399128,0.022818458766000832,0.10694734389507464,0.00527650365567516,0.03322212614405684,0.10203918400239594,0.007061065000855487,0.03460826967363184,11.81870612028893,0.46081278637054124,0.14550929614490285,rl2,ucKevMbqCXuuySSS,2,3383.0,folding clothes,"{""short sleeve shirts"",""long sleeve shirts"",shorts}"
2025-09-20-18-39-18-000000,3712.0,123.73333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,51.24002493985644,0.41422817251298655,0.36718941265982513,73.32260191793964,0.592745367162002,0.40888216988950354,0.5034867698374943,124.56262685779608,0.0,123.73333333333333,4.82617812517188,51.24002493985644,0.41422817251298655,0.8343241282406783,0.9691723800863214,37.5560642441664,0.3121734522283077,0.3647595765069127,0.5039643123745918,0.05738553745300096,-0.14954747708242364,-0.19508660792303872,-0.5489934813632662,0.9857181352735112,73.32260191793964,0.592745367162002,0.8892392333003848,1.6638292308967788,42.84581967747614,0.32959100347943604,0.4087786376476288,0.560105575248599,0.07546289050266543,-0.12046019664470303,0.09906237829256404,-0.5401745537287909,0.9819455672325519,0.8428406023967847,0.2997370952587853,0.061774740619800435,0.1118340561536257,0.10655589120180783,0.004431927823481861,0.03314702275947773,0.10399967118137281,0.005675112302262409,0.02933475411707344,8.098566011299997,0.2751782750499162,0.09526792808911791,rl2,ucKevMbqCXuuySSS,3,3712.0,folding clothes,"{""short sleeve shirts"",""long sleeve shirts"",shorts}"
2025-09-20-19-57-29-000000,2101.0,70.03333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,42.24121779000221,0.603445968428603,0.5279971266628335,51.39799486610576,0.7342570695157965,0.5828006495832445,0.6688515189721999,93.63921265610797,0.0,70.03333333333333,4.263149250436462,42.24121779000221,0.603445968428603,1.0838179927578095,1.6250820448952183,46.70863323120258,0.27444889955222607,0.4136878182180226,0.9396586418151855,0.10668523998031544,0.14412976366275834,-0.19451650847598417,-0.6824915489201935,0.9966666666666667,51.39799486610576,0.7342570695157965,1.1294849931230155,1.7592253718131683,50.64021980208703,0.4183544088155031,0.3321159575134516,0.9095520782284439,0.12637514408280026,-0.12874259988798173,-0.07296582841709057,-0.6921459188344496,0.9966666666666667,0.9187481875251555,0.3035602287391105,0.0905246126702075,0.08598829446719523,0.10683906365943718,0.006946992120810621,0.03530370015008952,0.10470338923746997,0.0067446858163518475,0.02987066220192526,10.493076285532496,0.5194187581544095,0.1689607823506541,rl2,7UD-MlQsDB8PB3X-,5,2101.0,folding clothes,"{""short sleeve shirts"",""long sleeve shirts"",shorts}"
2025-09-20-20-27-23-000000,2050.0,68.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,35.79376165346375,0.5240667884840958,0.36224262033660193,51.003433341266586,0.7467559786422633,0.3100515298757129,0.6354113835631796,86.79719499473033,0.0,68.33333333333333,4.238925791033208,35.79376165346375,0.5240667884840958,1.067377419619004,1.232333948618007,45.74356192633071,0.46730516478419304,0.42212633043527603,0.9056288618594408,0.1786459924668447,-0.06598890369212845,-0.33724072185867443,-0.6312877258249536,0.9917032698877501,51.003433341266586,0.7467559786422633,1.2556769796625054,1.8198586607252107,56.243981241841006,0.6884057149291039,0.5605417303740978,1.0558508560061455,0.4074318662581077,-0.28586027796312075,0.06054266980932969,-0.6254328049340842,0.9970717423133236,0.8956126705232978,0.45810593252164183,0.14196040127846135,0.11868101349882153,0.10532198067149842,0.005214545427424155,0.03271708295610107,0.10364407123464683,0.006078783297649061,0.025334589412690678,12.741279298618991,0.6842682222483788,0.28228136384417485,rl2,7UD-MlQsDB8PB3X-,6,2050.0,folding clothes,"{""short sleeve shirts"",""long sleeve shirts"",shorts}"
2025-09-20-21-23-13-000000,2089.0,69.63333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,44.2215095381944,0.6353665163533677,0.20261872769319852,50.13444604329584,0.7203225006220666,0.2308536155045443,0.6778445084877172,94.35595558149024,0.0,69.63333333333334,4.257502176606144,44.2215095381944,0.6353665163533677,1.4444389466957988,1.6338445780240225,58.4634699968888,0.28270572051405907,0.3025242444127798,1.0378085356205702,0.0887589221452007,0.08309532646330536,-0.2159252684561615,-0.7643606084998389,0.9889846743295019,50.13444604329584,0.7203225006220666,1.4223031236094767,1.6619956186192026,58.77402861431013,0.3890261799097061,0.29811020009219646,1.0775325074791908,0.12496432441910177,-0.16331972456423502,-0.08453285954454615,-0.7381748439612151,0.9913793103448276,0.9541409690035632,0.2832704598694907,0.059637130990194485,0.1320937882056872,0.1048685405680759,0.004149668496805243,0.03480001828582832,0.10355009255967271,0.004326705424773501,0.035452163676243736,11.490337021311582,0.5741437337441686,0.30003116186882606,rl2,7UD-MlQsDB8PB3X-,8,2089.0,folding clothes,"{""short sleeve shirts"",""long sleeve shirts"",shorts}"
2025-09-20-21-27-15-000000,2294.0,76.46666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,39.053761253961966,0.5109519570950104,0.18931386213265075,52.08666147069442,0.6814652612825263,0.17846146701738314,0.5962086091887683,91.14042272465639,0.0,76.46666666666667,4.349847736309647,39.053761253961966,0.5109519570950104,0.9103476036925875,1.276769545556818,37.07838492411118,0.28327421098947525,0.4199393857270479,0.8958590338006616,0.10656959729020918,-0.3160412648064267,0.06881008422011432,-0.7569754510527638,0.9973833406018316,52.08666147069442,0.6814652612825263,0.9629323874962009,1.8032929068182382,41.66285944988206,0.44690078124403954,0.5597894531674683,0.9091766849160194,0.22744904397923002,0.09614096575805556,0.2713422314865748,-0.7282392298842316,0.9982555604012211,0.8761029851774449,0.464308942041789,0.13438479360679,0.13069644487029797,0.10346049628283764,0.003799249109826513,0.028259455946279738,0.10206863393867814,0.005515245435955082,0.028310281760296374,12.586114138269382,0.5969458557310425,0.17887557794781087,rl2,7UD-MlQsDB8PB3X-,8,2294.0,folding clothes,"{""short sleeve shirts"",""long sleeve shirts"",shorts}"
2025-09-21-20-44-10-000000,3255.0,108.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,45.419746373064335,0.41874382028024887,0.8026715556684337,46.10718742724595,0.4250816296304174,0.7765288557506372,0.4219127249553332,91.52693380031027,0.0,108.5,4.695924549256556,45.419746373064335,0.41874382028024887,0.8317445833195589,0.8493597767757144,35.857441638658884,0.7264297381043434,0.4242139244452119,0.8689844980835915,0.2677876620248533,-0.06205685970454996,-0.2575995412734573,-0.7026640646874951,0.9935464044253227,46.10718742724595,0.4250816296304174,0.8994240223870135,0.9549760888582817,38.88129328263035,0.5344453603029251,0.5904096849262714,0.7808484397828579,0.24639025723934413,-0.20734783489791428,0.029404852520336488,-0.7548659274294491,0.9935464044253227,0.6590041387215009,0.358698632711972,0.10219536474079607,0.14617961434470123,0.09620284098835129,0.00537760778362283,0.029417238727662776,0.09479093784943311,0.005177368897800572,0.026740642686747945,11.771095587633852,0.5123976972608676,0.11130891134748025,rl2,7UD-MlQsDB8PB3X-,1,3255.0,folding clothes,"{""short sleeve shirts"",""long sleeve shirts"",shorts}"
2025-09-21-20-50-33-000000,2730.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,40.16129260077879,0.4414946053585064,0.7788083173441857,41.862302805285594,0.46019387473747436,0.75932665661141,0.45084424004799034,82.02359540606439,0.0,91.0,4.5217885770490405,40.16129260077879,0.4414946053585064,0.8366540830368281,1.0052799540386526,35.49398057881859,0.6941390968859196,0.35209202766418457,0.8615467734634876,0.21056275694607218,-0.096377876501585,-0.3329111626978977,-0.6878384827728291,0.9959692194943203,41.862302805285594,0.46019387473747436,0.9930785230424108,0.9634418948838633,42.55747927626804,0.5858839545398951,0.5418045707046986,0.879551999270916,0.2792002410013478,-0.23171351510662955,0.09232536362496464,-0.7369616464940292,0.9941370465371931,0.7725621062121377,0.4611314492009814,0.108200408139959,0.14997111902823781,0.1007153957144318,0.0057002238137890335,0.02921403197435636,0.09693013661792253,0.006593681743928444,0.03134699181843148,10.225651820625975,0.5113155665141917,0.13662000884029754,rl2,7UD-MlQsDB8PB3X-,1,2730.0,folding clothes,"{""short sleeve shirts"",""long sleeve shirts"",shorts}"
2025-09-21-21-01-12-000000,3528.0,117.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,48.88234935729621,0.4157840886642717,0.3117446664190506,54.383191804605346,0.46257322204087326,0.2575096842359731,0.4391786553525725,103.26554116190155,0.0,117.6,4.775756486563625,48.88234935729621,0.4157840886642717,0.8648694434830042,0.8929985445800863,37.09554717800447,0.6625702790915966,0.5012701759114861,0.7588953394442797,0.25204942018153925,-0.07485149404384585,-0.3362525625565129,-0.6669114623752015,0.9948965126169549,54.383191804605346,0.46257322204087326,0.9652266113378111,0.9205462766081521,41.74566600311338,0.6383022833615541,0.6567282378673553,0.7806721674278378,0.32725085097358386,-0.2874734288783896,0.024473017900254284,-0.6897878399656773,0.9954635667706266,0.8902532943626511,0.430864162205314,0.094733342334721,0.010095273250612541,0.10322562798232611,0.008282897610421072,0.03141886952639948,0.09943413072020083,0.007810768120918391,0.030937911931965864,17.550814647306634,0.6770585395571762,0.15010026937211382,rl2,7UD-MlQsDB8PB3X-,2,3528.0,folding clothes,"{""short sleeve shirts"",""long sleeve shirts"",shorts}"
