seed,condition,n_train_eps,n_train_win,n_eval_eps,n_eval_win,avg_mse
0,gated_equal_episodes,776,16219,257,5366,0.04953283071517944
0,gated_equal_frames,776,16219,257,5366,0.04953289404511452
0,ungated_equal_episodes,776,30446,257,5366,0.049023136496543884
0,ungated_equal_frames,448,16279,257,5366,0.05127452313899994
1,gated_equal_episodes,774,16208,259,5377,0.05100955814123154
1,gated_equal_frames,774,16208,259,5377,0.05100959166884422
1,ungated_equal_episodes,774,30021,259,5377,0.05045374110341072
1,ungated_equal_frames,454,16219,259,5377,0.05438827723264694
2,gated_equal_episodes,774,16192,259,5393,0.04454873502254486
2,gated_equal_frames,774,16192,259,5393,0.044548749923706055
2,ungated_equal_episodes,774,30201,259,5393,0.0430336520075798
2,ungated_equal_frames,415,16233,259,5393,0.046913862228393555
3,gated_equal_episodes,771,16123,262,5462,0.04844058305025101
3,gated_equal_frames,771,16123,262,5462,0.048440564423799515
3,ungated_equal_episodes,771,31444,262,5462,0.04773910716176033
3,ungated_equal_frames,322,16128,262,5462,0.05193297192454338
4,gated_equal_episodes,774,16359,259,5226,0.052302367985248566
4,gated_equal_frames,774,16359,259,5226,0.05230211466550827
4,ungated_equal_episodes,774,33453,259,5226,0.05058790370821953
4,ungated_equal_frames,455,16398,259,5226,0.053282029926776886
5,gated_equal_episodes,773,16002,260,5583,0.049554236233234406
5,gated_equal_frames,773,16002,260,5583,0.04955417662858963
5,ungated_equal_episodes,773,32969,260,5583,0.04909411817789078
5,ungated_equal_frames,388,16018,260,5583,0.05187150835990906
6,gated_equal_episodes,775,16318,258,5267,0.04496195167303085
6,gated_equal_frames,775,16318,258,5267,0.04496195912361145
6,ungated_equal_episodes,775,29739,258,5267,0.04508684575557709
6,ungated_equal_frames,435,16325,258,5267,0.047213636338710785
7,gated_equal_episodes,772,16115,261,5470,0.04205962270498276
7,gated_equal_frames,772,16115,261,5470,0.04205961897969246
7,ungated_equal_episodes,772,32815,261,5470,0.04112047329545021
7,ungated_equal_frames,346,16226,261,5470,0.044671736657619476
8,gated_equal_episodes,777,16319,256,5266,0.052427131682634354
8,gated_equal_frames,777,16319,256,5266,0.05242712423205376
8,ungated_equal_episodes,777,30768,256,5266,0.05100221186876297
8,ungated_equal_frames,338,16321,256,5266,0.05456990376114845
9,gated_equal_episodes,786,16078,247,5507,0.04801260307431221
9,gated_equal_frames,786,16078,247,5507,0.04801259934902191
9,ungated_equal_episodes,786,30511,247,5507,0.04773912951350212
9,ungated_equal_frames,448,16184,247,5507,0.05020279064774513
