episode_hash,lab,n_frames,hand_visible_frac,mean_hands_per_frame,frames_with_two_hands
2025-09-20-17-42-51-000000,rl2,8,0.625,0.75,1
2025-09-20-17-47-54-000000,rl2,8,0.75,1.125,3
2025-09-20-18-05-52-000000,rl2,8,0.875,1.5,5
2025-09-20-18-11-35-000000,rl2,8,1.0,2.0,8
2025-09-20-18-39-18-000000,rl2,8,1.0,1.625,5
2025-09-20-18-44-29-000000,rl2,8,0.875,1.625,6
2025-09-20-18-59-55-000000,rl2,8,0.75,1.25,4
2025-09-20-19-04-22-000000,rl2,8,0.625,0.875,2
2025-09-20-19-53-07-000000,rl2,8,0.875,1.5,5
2025-09-20-19-57-29-000000,rl2,8,0.5,0.5,0
2025-09-20-20-23-06-000000,rl2,8,1.0,1.875,7
2025-09-20-20-27-23-000000,rl2,8,1.0,1.875,7
2025-09-20-20-55-13-000000,rl2,8,0.875,1.5,5
2025-09-20-20-59-45-000000,rl2,8,0.75,1.0,2
2025-09-20-21-23-13-000000,rl2,8,0.75,1.375,5
2025-09-20-21-27-15-000000,rl2,8,0.625,0.875,2
2025-09-21-20-44-10-000000,rl2,8,0.0,0.0,0
2025-09-21-20-50-33-000000,rl2,8,0.625,1.25,5
2025-09-21-20-56-12-000000,rl2,8,0.625,1.0,3
2025-09-21-21-01-12-000000,rl2,8,0.5,0.75,2
2025-09-21-21-35-21-000000,rl2,8,0.75,1.0,2
2025-09-21-21-40-03-000000,rl2,8,0.5,0.5,0
2025-09-21-22-17-10-000000,rl2,8,0.125,0.125,0
2025-09-21-22-21-41-000000,rl2,8,0.0,0.0,0
2025-09-22-01-56-37-000000,rl2,8,0.625,0.875,2
2025-09-22-02-02-19-000000,rl2,8,0.875,1.25,3
2025-09-22-02-19-38-000000,rl2,8,0.75,1.25,4
2025-09-22-02-24-19-000000,rl2,8,1.0,1.625,5
2025-09-22-02-31-37-000000,rl2,8,0.875,1.25,3
2025-09-22-02-36-16-000000,rl2,8,0.875,1.375,4
2025-09-22-03-09-27-000000,rl2,8,0.75,0.75,0
2025-09-22-03-13-58-000000,rl2,8,1.0,1.125,1
2025-09-22-19-42-55-000000,rl2,8,0.875,1.25,3
2025-09-22-19-49-07-000000,rl2,8,0.75,1.375,5
2025-09-22-20-11-49-000000,rl2,8,0.0,0.0,0
2025-09-22-20-17-09-000000,rl2,8,0.5,0.5,0
2025-09-22-20-23-21-000000,rl2,8,1.0,1.625,5
2025-09-22-20-27-48-000000,rl2,8,0.875,1.5,5
2025-09-22-20-35-24-000000,rl2,8,1.0,1.625,5
2025-09-22-20-41-18-000000,rl2,8,0.875,1.25,3
2025-09-22-20-47-49-000000,rl2,8,0.875,1.375,4
2025-09-22-21-00-06-000000,rl2,8,0.75,1.0,2
2025-09-22-21-04-21-000000,rl2,8,0.25,0.25,0
2025-09-23-19-20-34-000000,rl2,8,0.125,0.125,0
2025-09-23-19-25-08-000000,rl2,8,0.125,0.125,0
2025-09-23-19-32-44-000000,rl2,8,0.625,1.125,4
2025-09-23-19-37-29-000000,rl2,8,0.875,1.375,4
2025-09-23-20-14-31-000000,rl2,8,1.0,1.75,6
2025-09-23-20-19-39-000000,rl2,8,0.75,1.25,4
2025-09-23-20-30-13-000000,rl2,8,0.625,1.125,4
2025-09-23-20-34-49-000000,rl2,8,0.75,1.0,2
2025-09-23-21-10-33-000000,rl2,8,0.25,0.375,1
2025-09-23-21-14-51-000000,rl2,8,0.25,0.25,0
2025-09-23-21-34-16-000000,rl2,8,0.0,0.0,0
2025-09-23-21-38-55-000000,rl2,8,0.375,0.375,0
2025-09-23-21-58-00-000000,rl2,8,0.0,0.0,0
