condition,k_frac,n_pairs,mse_unseen_operator_mean_pct,mse_unseen_operator_wins,mse_unseen_scene_mean_pct,mse_unseen_scene_wins
curated,0.25,10,-3.143695713200395,9,-3.487884440421042,9
degenerate,0.25,10,14.869695067629445,0,8.343531105154058,1
dpp,0.25,10,-5.289252925998536,10,-5.170629961115404,10
kcenter,0.25,10,-5.090696796536241,10,-4.6597299489673984,8
random,0.25,10,0.0,0,0.0,0
random_nogate,0.25,10,0.25959403354846755,3,0.19304110368546118,2
curated,0.5,10,-2.1343926574856957,10,-0.8071816417239596,8
degenerate,0.5,10,2.043747705880102,0,2.7788473589799088,0
dpp,0.5,10,-2.817181673851901,10,-1.7986047275234054,10
kcenter,0.5,10,-2.6066856148782866,10,-1.421291187050673,9
random,0.5,10,0.0,0,0.0,0
random_nogate,0.5,10,0.18005721133025804,1,0.018369221815628924,4
