episode_hash,status,total_frames,padded_len,sql_num_frames,n_annotations,fps,n_arrays
692fe17b34a99e18e2528933,ok,174,174,174.0,0,30,7
692e9f2cba0400c70689fdfd,ok,189,189,189.0,0,30,7
692f0f32fbcce321dca7507b,ok,209,209,209.0,0,30,7
692e90f07641010d043544f0,ok,138,138,138.0,0,30,7
692efe44f59fd218b1be01bc,ok,131,131,131.0,0,30,7
692ec52b526b2c3ac5f5b568,ok,150,150,150.0,0,30,7
692ea90de2322e3b092b5f08,ok,209,209,209.0,0,30,7
692e90ef7641010d043544e8,ok,133,133,133.0,0,30,7
692eefe30ba268eb16564aad,ok,201,201,201.0,0,30,7
692fe3fbd35e50f3aed1e3b0,ok,228,228,228.0,0,30,7
692eefe40ba268eb16564abb,ok,186,186,186.0,0,30,7
692f0f34fbcce321dca7508e,ok,215,215,215.0,0,30,7
692ea21bc7cb0e94dc84bb3d,ok,191,191,191.0,0,30,7
692e8ab95aae241ad236eaaf,ok,214,214,214.0,0,30,7
692e9f05e2322e3b092b5d9c,ok,190,190,190.0,0,30,7
692e9f04e2322e3b092b5d91,ok,210,210,210.0,0,30,7
692e90c63b319da763b71852,ok,212,212,212.0,0,30,7
692eb28f21fc595fbe6f9614,ok,226,226,226.0,0,30,7
692efdc4fbcce321dca74fb9,ok,235,235,235.0,0,30,7
692ea17cba0400c70689fe4d,ok,162,162,162.0,0,30,7
692eab3b5cd6df8b6023ca8c,ok,210,210,210.0,0,30,7
692ea1c268228e362d908fd2,ok,203,203,203.0,0,30,7
692fe79b34a99e18e252898f,ok,236,236,236.0,0,30,7
692eb78d4e7eab2cafd26aab,ok,209,209,209.0,0,30,7
692ea124eee2f8cb10d0f726,ok,87,87,87.0,0,30,7
692efcdd4cbe809837380006,ok,139,139,139.0,0,30,7
692ec52d526b2c3ac5f5b57c,ok,152,152,152.0,0,30,7
692fe255400f4662f13d7b09,ok,192,192,192.0,0,30,7
6930852199946db9586cf532,ok,175,175,175.0,0,30,7
692fe8793c1dfb13a7a99ed6,ok,173,173,173.0,0,30,7
692e9f2bba0400c70689fdf4,ok,187,187,187.0,0,30,7
6930852099946db9586cf527,ok,221,221,221.0,0,30,7
692eb0eac621d7f4aac3ac2a,ok,120,120,120.0,0,30,7
