episode_hash,status,total_frames,padded_len,sql_num_frames,n_annotations,fps,n_arrays
2025-10-29-22-06-00-419000,ok,2215,2300,2215.0,0,30,9
2026-01-09-19-57-45-000000,ok,2842,2900,2842.0,0,30,9
2025-10-13-00-27-04-770000,ok,1781,1800,1781.0,0,30,9
2025-10-29-22-02-43-004000,ok,2610,2700,2610.0,0,30,9
2025-11-24-20-27-24-975000,ok,3630,3700,3630.0,0,30,9
2025-11-11-22-55-39-656000,ok,1367,1400,1367.0,0,30,9
2026-01-06-20-52-14-820000,ok,2501,2600,2501.0,0,30,9
2025-09-25-19-27-43-000000,ok,1550,1600,1550.0,0,30,9
2025-11-11-22-52-13-639000,ok,2330,2400,2330.0,0,30,9
2025-10-29-22-02-20-323000,ok,2900,2900,2900.0,0,30,9
2025-11-24-20-24-32-080000,ok,3457,3500,3457.0,0,30,9
2025-10-29-21-54-36-221000,ok,3717,3800,3717.0,0,30,9
2025-10-13-00-00-06-022000,ok,1947,2000,1947.0,0,30,9
2025-09-26-19-56-45-000000,ok,3127,3200,3127.0,0,30,9
2025-09-26-18-47-40-000000,ok,4026,4100,4026.0,0,30,9
2025-10-29-22-06-00-430000,ok,2287,2300,2287.0,0,30,9
2025-09-22-02-36-16-000000,ok,3476,3500,3476.0,0,30,9
2025-10-29-22-06-00-411000,ok,3473,3500,3473.0,0,30,9
2025-10-12-01-51-04-211000,ok,2354,2400,2354.0,0,30,9
2025-09-24-04-50-31-000000,ok,2230,2300,2230.0,0,30,9
2025-09-23-22-47-12-000000,ok,2371,2400,2371.0,0,30,9
2026-01-20-21-31-40-476000,ok,2758,2800,2758.0,0,30,9
2026-01-09-19-53-09-000000,ok,2751,2800,2751.0,0,30,9
2025-10-29-21-54-36-190000,ok,2605,2700,2605.0,0,30,9
2025-09-24-04-10-46-000000,ok,2056,2100,2056.0,0,30,9
2025-10-13-00-02-22-038000,ok,1758,1800,1758.0,0,30,9
