seed,k_frac,k,condition,n_train_eps,n_train_win,mse_unseen_operator,mse_unseen_scene,n_groups,fit_s
0,0.25,93,random,93,18672,0.10560060292482376,0.11698941886425018,60,0.31809186935424805
0,0.25,93,curated,93,18429,0.10316068679094315,0.1089639663696289,69,0.2887458801269531
0,0.25,93,dpp,93,19350,0.10313110053539276,0.10444231331348419,64,0.44809913635253906
0,0.25,93,kcenter,93,18946,0.10293157398700714,0.10500425845384598,68,0.26673007011413574
0,0.25,93,degenerate,93,15688,0.12158509343862534,0.12223432213068008,13,0.24761319160461426
0,0.25,93,random_nogate,93,17873,0.10425560176372528,0.11976835131645203,-1,0.0
0,0.5,186,random,186,36007,0.10108472406864166,0.1044721007347107,100,0.3843190670013428
0,0.5,186,curated,186,36508,0.0996684655547142,0.10406134277582169,104,0.408768892288208
0,0.5,186,dpp,186,37385,0.10045351088047028,0.10316115617752075,96,0.48985886573791504
0,0.5,186,kcenter,186,37380,0.09945472329854965,0.10457643866539001,104,0.3595750331878662
0,0.5,186,degenerate,186,32256,0.10362385958433151,0.10772997885942459,36,0.32155394554138184
0,0.5,186,random_nogate,186,35402,0.10033734887838364,0.10369637608528137,-1,0.0
0,1.0,373,all_gated,373,71551,0.09825807809829712,0.1012270376086235,125,0.0
1,0.25,79,random,79,15743,0.11716558039188385,0.09501200914382935,59,0.34443187713623047
1,0.25,79,curated,79,15758,0.11389373242855072,0.09583654254674911,54,0.3428821563720703
1,0.25,79,dpp,79,16535,0.11060647666454315,0.09095221012830734,56,0.32668519020080566
1,0.25,79,kcenter,79,16602,0.1132686659693718,0.09118461608886719,57,0.2920801639556885
1,0.25,79,degenerate,79,13684,0.1318594068288803,0.10341624915599823,9,0.2537868022918701
1,0.25,79,random_nogate,79,14859,0.11709033697843552,0.0956784039735794,-1,0.0
1,0.5,158,random,158,30342,0.11008554697036743,0.08714641630649567,83,0.5176918506622314
1,0.5,158,curated,158,31494,0.10951168090105057,0.0872076228260994,82,0.7337801456451416
1,0.5,158,dpp,158,32080,0.10719764232635498,0.0853661373257637,87,0.41245293617248535
1,0.5,158,kcenter,158,31667,0.10865336656570435,0.08642209321260452,90,0.3211860656738281
1,0.5,158,degenerate,158,27420,0.11232192069292068,0.08950702100992203,28,0.31061697006225586
1,0.5,158,random_nogate,158,29394,0.1107601523399353,0.08752043545246124,-1,0.0
1,1.0,316,all_gated,316,60270,0.10756325721740723,0.08460835367441177,105,0.0
2,0.25,78,random,78,16161,0.10836543142795563,0.10592081397771835,55,0.32500410079956055
2,0.25,78,curated,78,16222,0.10676968097686768,0.10467857867479324,58,0.26616978645324707
2,0.25,78,dpp,78,17561,0.10646875947713852,0.1026226133108139,56,0.3867321014404297
2,0.25,78,kcenter,78,16755,0.10424666106700897,0.10351695120334625,59,0.31819820404052734
2,0.25,78,degenerate,78,14388,0.1204942986369133,0.11576147377490997,12,0.2878420352935791
2,0.25,78,random_nogate,78,15819,0.11078689247369766,0.1028832420706749,-1,0.0
2,0.5,156,random,156,30507,0.10319214314222336,0.10014288127422333,85,0.6299688816070557
2,0.5,156,curated,156,32577,0.10017865151166916,0.09797998517751694,88,0.4191470146179199
2,0.5,156,dpp,156,33188,0.1013348251581192,0.09809558093547821,89,0.3933532238006592
2,0.5,156,kcenter,156,32870,0.1010328158736229,0.09876734018325806,94,0.3343019485473633
2,0.5,156,degenerate,156,28649,0.10443360358476639,0.10192170739173889,32,0.2895548343658447
2,0.5,156,random_nogate,156,29483,0.10273342579603195,0.09944603592157364,-1,0.0
2,1.0,312,all_gated,312,62893,0.09872539341449738,0.09622032195329666,115,0.0
3,0.25,68,random,68,13446,0.1192060187458992,0.10021786391735077,44,0.24305510520935059
3,0.25,68,curated,68,13285,0.11454454809427261,0.0959230363368988,46,0.22397208213806152
3,0.25,68,dpp,68,13429,0.11018773168325424,0.09306851774454117,49,0.24707913398742676
3,0.25,68,kcenter,68,13406,0.11023402959108353,0.09267333149909973,50,0.22759699821472168
3,0.25,68,degenerate,68,13177,0.12373200803995132,0.10356740653514862,9,0.2695486545562744
3,0.25,68,random_nogate,68,12861,0.11952996999025345,0.1001315489411354,-1,0.0
