alpha,n_features,history,horizon,seed,condition,mse_unseen_operator,mse_unseen_scene
1.0,512,10,30,0,random,0.10452668368816376,0.10820230841636658
1.0,512,10,30,0,curated,0.10457877814769745,0.10704758763313293
1.0,512,10,30,0,dpp,0.10327751934528351,0.10432388633489609
1.0,512,10,30,0,kcenter,0.10362215340137482,0.10379140824079514
1.0,512,10,30,0,degenerate,0.11666431277990341,0.11614153534173965
1.0,512,10,30,1,random,0.11941000074148178,0.09694565832614899
1.0,512,10,30,1,curated,0.11456084996461868,0.0958685651421547
1.0,512,10,30,1,dpp,0.11086685955524445,0.09152702987194061
1.0,512,10,30,1,kcenter,0.1114281415939331,0.09209289401769638
1.0,512,10,30,1,degenerate,0.13190986216068268,0.10346631705760956
1.0,512,10,30,2,random,0.11092109233140945,0.10694753378629684
1.0,512,10,30,2,curated,0.10658308118581772,0.10223633050918579
1.0,512,10,30,2,dpp,0.10785214602947235,0.1026039570569992
1.0,512,10,30,2,kcenter,0.10583829879760742,0.10398539900779724
1.0,512,10,30,2,degenerate,0.11464937776327133,0.1111043393611908
1.0,512,10,30,3,random,0.11801408231258392,0.09899091720581055
1.0,512,10,30,3,curated,0.11378323286771774,0.0962284728884697
1.0,512,10,30,3,dpp,0.1106906458735466,0.09308428317308426
1.0,512,10,30,3,kcenter,0.11097875982522964,0.09352138638496399
1.0,512,10,30,3,degenerate,0.1251157522201538,0.10473979264497757
1.0,512,10,30,4,random,0.1171586811542511,0.09880908578634262
1.0,512,10,30,4,curated,0.11416342854499817,0.09607433527708054
1.0,512,10,30,4,dpp,0.1136947050690651,0.09683823585510254
1.0,512,10,30,4,kcenter,0.11064697057008743,0.0956961065530777
1.0,512,10,30,4,degenerate,0.14640925824642181,0.11591517180204391
0.1,512,10,30,0,random,0.10456601530313492,0.10826601088047028
0.1,512,10,30,0,curated,0.10461713373661041,0.10710931569337845
0.1,512,10,30,0,dpp,0.10331173241138458,0.10436445474624634
0.1,512,10,30,0,kcenter,0.10365678369998932,0.1038404107093811
0.1,512,10,30,0,degenerate,0.11677038669586182,0.1162433847784996
0.1,512,10,30,1,random,0.11974789202213287,0.09708373248577118
0.1,512,10,30,1,curated,0.11475375294685364,0.09599245339632034
0.1,512,10,30,1,dpp,0.11105528473854065,0.09161201119422913
0.1,512,10,30,1,kcenter,0.11156800389289856,0.09216241538524628
0.1,512,10,30,1,degenerate,0.13253943622112274,0.10369432717561722
0.1,512,10,30,2,random,0.11098287254571915,0.10720541328191757
0.1,512,10,30,2,curated,0.1066405177116394,0.10232440382242203
0.1,512,10,30,2,dpp,0.10790816694498062,0.10268944501876831
0.1,512,10,30,2,kcenter,0.1059001162648201,0.1040806695818901
0.1,512,10,30,2,degenerate,0.11475607007741928,0.1112080067396164
0.1,512,10,30,3,random,0.11818516254425049,0.09915557503700256
0.1,512,10,30,3,curated,0.11387355625629425,0.09636565297842026
0.1,512,10,30,3,dpp,0.11078382283449173,0.09317035228013992
0.1,512,10,30,3,kcenter,0.11109454929828644,0.0936279147863388
0.1,512,10,30,3,degenerate,0.12544815242290497,0.10494265705347061
0.1,512,10,30,4,random,0.11730123311281204,0.09887348115444183
0.1,512,10,30,4,curated,0.11428967118263245,0.09611651301383972
0.1,512,10,30,4,dpp,0.11380218714475632,0.0968739241361618
0.1,512,10,30,4,kcenter,0.11075334995985031,0.0957338958978653
0.1,512,10,30,4,degenerate,0.14683103561401367,0.11614078283309937
10.0,512,10,30,0,random,0.10417136549949646,0.10763298720121384
10.0,512,10,30,0,curated,0.10423428565263748,0.1064981073141098
10.0,512,10,30,0,dpp,0.102973572909832,0.10396924614906311
10.0,512,10,30,0,kcenter,0.10331717133522034,0.10336879640817642
10.0,512,10,30,0,degenerate,0.11575815081596375,0.11529971659183502
10.0,512,10,30,1,random,0.11719494313001633,0.09589066356420517
10.0,512,10,30,1,curated,0.11324133723974228,0.09490534663200378
10.0,512,10,30,1,dpp,0.10966674983501434,0.09087041020393372
10.0,512,10,30,1,kcenter,0.11045455187559128,0.09151510894298553
10.0,512,10,30,1,degenerate,0.12816794216632843,0.1018279567360878
10.0,512,10,30,2,random,0.11029641330242157,0.10520175844430923
10.0,512,10,30,2,curated,0.10605526715517044,0.10154113173484802
10.0,512,10,30,2,dpp,0.1073310375213623,0.10197310149669647
10.0,512,10,30,2,kcenter,0.10528014600276947,0.10326605290174484
10.0,512,10,30,2,degenerate,0.11369181424379349,0.11023454368114471
10.0,512,10,30,3,random,0.11667829006910324,0.09780234098434448
10.0,512,10,30,3,curated,0.11300475150346756,0.09522836655378342
10.0,512,10,30,3,dpp,0.1099349781870842,0.09240337461233139
10.0,512,10,30,3,kcenter,0.11006762832403183,0.09270480275154114
10.0,512,10,30,3,degenerate,0.12281905859708786,0.10320821404457092
10.0,512,10,30,4,random,0.11592970043420792,0.09826651215553284
10.0,512,10,30,4,curated,0.11309230327606201,0.0956997275352478
10.0,512,10,30,4,dpp,0.11277972161769867,0.096514992415905
10.0,512,10,30,4,kcenter,0.10978071391582489,0.09536251425743103
10.0,512,10,30,4,degenerate,0.14331360161304474,0.1142926886677742
1.0,256,10,30,0,random,0.10457010567188263,0.11011312156915665
1.0,256,10,30,0,curated,0.10417888313531876,0.10915375500917435
1.0,256,10,30,0,dpp,0.1023811623454094,0.10725071281194687
1.0,256,10,30,0,kcenter,0.10246527940034866,0.10556479543447495
1.0,256,10,30,0,degenerate,0.11219089478254318,0.11693143099546432
1.0,256,10,30,1,random,0.11475116014480591,0.09490513056516647
1.0,256,10,30,1,curated,0.11254356801509857,0.09407750517129898
1.0,256,10,30,1,dpp,0.1107265055179596,0.09240272641181946
1.0,256,10,30,1,kcenter,0.11321236193180084,0.09301783889532089
1.0,256,10,30,1,degenerate,0.12392410635948181,0.10143455117940903
1.0,256,10,30,2,random,0.10888353735208511,0.10321932286024094
1.0,256,10,30,2,curated,0.10403876006603241,0.1008346676826477
1.0,256,10,30,2,dpp,0.1051814928650856,0.10205300897359848
1.0,256,10,30,2,kcenter,0.10412716120481491,0.10152367502450943
1.0,256,10,30,2,degenerate,0.11260401457548141,0.10958626866340637
1.0,256,10,30,3,random,0.11611068248748779,0.09917008876800537
1.0,256,10,30,3,curated,0.11195943504571915,0.09537513554096222
1.0,256,10,30,3,dpp,0.10925339162349701,0.09281463921070099
1.0,256,10,30,3,kcenter,0.10864584147930145,0.09350546449422836
1.0,256,10,30,3,degenerate,0.12034077942371368,0.1022067442536354
1.0,256,10,30,4,random,0.11533252149820328,0.10096772760152817
1.0,256,10,30,4,curated,0.11236295104026794,0.09795411676168442
