condition,alpha,n_features,history,horizon,mse_unseen_operator,mse_unseen_scene
curated,0.1,512,10,30,-4.312116048728961,-3.549858742425209
curated,1.0,256,10,30,-3.5228527161999956,-3.1236747634347783
curated,1.0,512,5,30,-5.3853847601866045,-3.7064312509403727
curated,1.0,512,10,15,-4.34592541125529,-3.7036081516710033
curated,1.0,512,10,30,-4.275528691264583,-3.5153128368688487
curated,1.0,512,10,60,-4.848371713510921,-2.8457478588448204
curated,1.0,512,20,30,-3.8381837461885913,-4.648661890005408
curated,1.0,1024,10,30,-5.154211471321567,-6.547923754775714
curated,10.0,512,10,30,-4.031788256094723,-3.263054732572389
degenerate,0.1,512,10,30,12.186784609817861,9.695531179245458
degenerate,1.0,256,10,30,8.185002565998929,7.521730238533658
degenerate,1.0,512,5,30,14.015043249656442,12.48180279362486
degenerate,1.0,512,10,15,12.826417222950628,11.670063979054671
degenerate,1.0,512,10,30,11.964701137743894,9.588821471782527
degenerate,1.0,512,10,60,10.655049844970303,8.913707767133792
degenerate,1.0,512,20,30,10.047007282976868,7.131644279182758
degenerate,1.0,1024,10,30,15.60310766245343,17.211071524928684
degenerate,10.0,512,10,30,10.78426966691199,8.942806224748615
dpp,0.1,512,10,30,-6.227449969291145,-5.906225367999811
dpp,1.0,256,10,30,-5.702813083702676,-4.5925560263402065
dpp,1.0,512,5,30,-7.444034310424962,-6.361066532213869
dpp,1.0,512,10,15,-6.520963151509282,-5.1606103017119525
dpp,1.0,512,10,30,-6.189644873398296,-5.866487268730146
dpp,1.0,512,10,60,-6.616272508911296,-6.007282816588942
dpp,1.0,512,20,30,-5.72136295549522,-6.200965259169798
dpp,1.0,1024,10,30,-8.376230251434098,-8.962821067249552
dpp,10.0,512,10,30,-5.906765382133516,-5.539522597913935
kcenter,0.1,512,10,30,-6.156880899131139,-5.31336062481703
kcenter,1.0,256,10,30,-5.553794577042119,-4.711783008425704
kcenter,1.0,512,5,30,-7.401519653295765,-6.849415997145513
kcenter,1.0,512,10,15,-5.9213996543750795,-4.677159991960808
kcenter,1.0,512,10,30,-6.120018680820487,-5.2889123483447325
kcenter,1.0,512,10,60,-6.828671162926099,-5.614309490454204
kcenter,1.0,512,20,30,-5.775059130339648,-5.948091649215048
kcenter,1.0,1024,10,30,-8.350288186710312,-9.462260130342653
kcenter,10.0,512,10,30,-5.8424670317760174,-5.067052359422033
